Annual_Rainfall,Monsoon_Intensity,Cloud_Coverage,Humidity,Temperature,River_Discharge,Soil_Moisture,Drainage_Coefficient,Elevation,Deforestation_Rate,Summer_Rainfall,Winter_Rainfall,Pre_Monsoon_Rainfall,Post_Monsoon_Rainfall,Flood
1623.62,6.73,68.34,93.09,34.63,2523.37,64.57,0.795,342.76,43.23,797.92,205.15,230.0,390.55,1
3352.14,7.97,25.51,62.03,17.4,3746.4,40.24,0.533,233.79,1.31,1467.53,321.57,486.13,1076.92,1
2695.98,2.5,88.52,77.99,22.27,2835.2,47.19,0.81,27.85,45.55,1588.88,511.57,135.99,459.55,1
2295.98,6.25,65.18,54.88,38.21,462.35,71.67,0.166,459.26,15.29,839.62,193.42,187.6,1075.33,0
968.06,5.72,24.15,70.4,30.86,968.62,87.63,0.272,490.16,25.41,461.14,109.38,129.47,268.07,0
967.98,8.33,96.61,47.25,42.84,1135.67,27.22,0.596,215.52,6.61,493.73,187.72,100.33,186.21,0
674.25,9.06,56.65,44.09,27.86,1326.43,34.21,0.952,306.83,45.11,369.27,65.95,88.16,150.88,0
3098.53,0.12,16.56,66.26,41.09,2848.75,93.07,0.167,225.15,37.49,1307.86,454.52,419.33,916.82,1
2303.35,6.74,66.41,59.85,28.47,2544.63,57.85,0.139,160.94,46.21,1165.67,224.6,217.12,695.96,1
2624.22,0.52,32.79,66.36,44.38,1055.64,17.9,0.241,38.66,34.16,1025.97,174.78,225.42,1198.06,0
561.75,5.49,82.33,42.93,43.8,384.4,66.37,0.677,228.03,9.23,241.92,80.97,53.67,185.2,0
3409.73,2.88,83.6,49.36,24.87,898.59,99.08,0.459,409.19,15.41,1939.07,639.0,393.07,438.59,1
2997.33,3.07,98.11,26.71,41.58,4922.69,82.35,0.843,8.52,24.34,1753.35,353.34,259.92,630.72,1
1137.02,3.53,55.17,24.18,40.43,2369.31,74.57,0.165,291.05,30.36,586.3,163.65,144.97,242.1,0
1045.47,6.21,50.95,40.28,21.32,4343.36,20.8,0.277,440.39,46.32,431.06,147.76,146.78,319.87,1
1050.21,3.34,77.81,25.94,33.73,4251.32,87.61,0.37,108.77,19.2,573.43,117.9,82.16,276.72,0
1412.73,7.33,21.92,28.3,17.18,2582.02,52.58,0.664,91.63,35.15,434.78,200.94,206.96,570.04,0
2074.27,4.05,59.22,85.03,40.1,3548.1,88.93,0.717,386.14,48.05,686.22,184.4,232.88,970.77,1
1795.84,0.68,59.16,23.11,20.24,1004.12,32.98,0.212,127.54,7.62,895.07,191.63,247.5,461.65,0
1373.69,7.84,18.05,72.72,17.12,3457.56,6.21,0.949,95.99,43.14,532.13,159.83,82.96,598.77,0
2335.56,2.86,47.62,41.8,27.01,1398.3,47.6,0.407,188.99,21.04,1367.27,419.47,175.52,373.3,0
918.48,4.33,86.8,89.72,32.31,4168.71,26.98,0.742,196.25,36.62,395.7,93.91,75.41,353.46,0
1376.43,6.85,87.05,58.8,40.65,464.43,71.52,0.572,437.05,14.68,590.23,199.96,110.5,475.75,0
1599.09,3.32,18.93,44.45,44.23,3877.04,95.71,0.3,309.22,16.7,805.02,131.14,107.44,555.49,0
1868.21,0.57,18.16,61.41,28.18,544.69,69.1,0.862,202.98,1.36,990.66,164.19,255.61,457.76,0
2855.53,3.74,33.64,50.56,16.81,4411.89,88.69,0.836,267.19,48.57,1264.05,420.52,262.31,908.65,1
1099.02,9.44,88.73,65.14,37.47,1555.81,45.3,0.456,476.98,40.67,400.26,180.62,160.8,357.34,1
2042.7,6.42,21.6,29.16,31.96,3289.25,77.16,0.63,56.61,4.7,1086.7,243.73,221.32,490.95,1
2277.24,6.71,74.8,99.76,28.44,2463.14,84.3,0.332,103.86,49.98,902.03,228.33,145.38,1001.51,1
639.35,6.32,19.1,54.04,24.28,1863.2,71.09,0.721,481.26,30.25,225.39,119.27,66.87,227.82,0
2322.63,1.99,66.08,47.86,30.07,3244.94,50.78,0.378,478.66,42.69,1136.91,163.45,346.9,675.38,1
1011.57,4.18,42.05,76.82,25.16,4740.24,62.59,0.86,88.58,3.33,330.92,159.94,107.75,412.96,1
695.15,7.51,81.0,49.11,37.71,254.29,70.05,0.296,72.55,19.47,411.12,106.72,34.89,142.42,0
3346.66,1.01,31.03,86.66,31.32,4598.32,25.31,0.113,210.54,33.48,1638.92,513.83,479.6,714.3,1
3396.9,2.78,67.53,56.34,41.31,3064.95,80.96,0.342,24.86,5.32,2023.76,646.47,249.64,477.02,1
2925.19,2.76,31.21,77.56,31.31,4046.21,95.03,0.272,327.45,24.45,1174.96,465.77,347.67,936.79,1
1413.84,4.32,74.23,28.6,22.15,1950.18,46.52,0.557,38.75,22.13,836.09,134.65,143.52,299.59,0
793.02,9.8,88.63,87.69,40.53,2385.62,70.11,0.283,29.01,10.8,272.53,81.69,65.46,373.33,1
2552.7,0.68,21.41,78.86,31.72,4350.81,73.7,0.787,242.59,15.01,796.97,277.39,199.78,1278.55,1
1820.46,5.19,87.99,36.94,21.21,2103.5,66.22,0.317,478.89,48.36,564.15,99.44,260.1,896.77,1
866.11,1.79,63.42,31.62,33.71,2696.56,54.71,0.736,213.4,14.43,380.62,161.99,122.29,201.22,0
1985.53,9.71,21.44,45.3,25.73,149.96,88.16,0.621,178.24,10.67,645.1,121.18,201.16,1018.09,1
603.17,1.13,48.48,98.09,40.33,835.06,44.89,0.988,498.98,26.81,273.63,93.47,45.75,190.32,0
3227.96,4.04,24.48,40.55,28.6,3226.35,6.11,1.0,265.98,33.55,1285.54,514.94,194.43,1233.05,1
1276.34,7.38,73.03,56.49,36.79,3599.04,84.46,0.883,187.62,36.25,511.41,225.35,83.8,455.78,1
2487.57,7.05,78.3,22.4,17.87,2933.87,67.4,0.784,192.93,37.71,1220.61,330.86,254.29,681.81,1
1435.13,4.23,19.52,51.78,26.88,759.38,84.93,0.448,97.48,1.84,500.76,227.88,115.93,590.55,0
2060.2,3.47,55.55,65.71,44.5,2254.76,13.85,0.778,256.11,19.69,1091.84,196.56,111.68,660.13,0
2140.13,3.98,83.32,96.25,39.25,1807.72,3.08,0.961,219.43,38.7,1015.73,346.35,204.42,573.63,0
